Time (s),Y Axis (m/s^2),Z Axis (m/s^2)
0,0.55793394,1.10966796
0.000488,0.58657914,1.10974644
0.000977,0.57756375,1.11060972
0.001465,0.55677636,1.10855943
0.001953,0.57721059,1.10835342
0.002441,0.58969872,1.10915784
0.00293,0.57254103,1.11044295
0.003418,0.57460113,1.11059991
0.003906,0.58448961,1.10694078
0.004395,0.57973176,1.105587
0.004883,0.57306096,1.10392911
0.005371,0.57420873,1.10966796
0.005859,0.58405797,1.11111003
0.006348,0.58083048,1.1078433
0.006836,0.56615472,1.10961891
0.007324,0.57214863,1.10719584
0.007813,0.58331241,1.1090205
0.008301,0.56086713,1.10916765
0.008789,0.55607004,1.11104136
0.009277,0.58256685,1.11228723
0.009766,0.58054599,1.10888316
0.010254,0.56056302,1.10954043
0.010742,0.57189357,1.10842209
0.01123,0.5902677,1.10181996
0.011719,0.57163851,1.11056067
0.012207,0.56781261,1.10744109
0.012695,0.58225293,1.10810817
0.013184,0.58126212,1.10547909
0.013672,0.5714325,1.10336013
0.01416,0.57229578,1.10981511
0.014648,0.58812912,1.10504745
0.015137,0.58364595,1.10383101
0.015625,0.56617434,1.10957967
0.016113,0.57622959,1.11006036
0.016602,0.59189616,1.10751957
0.01709,0.57003948,1.11075687
0.017578,0.56109276,1.11207141
0.018066,0.58592187,1.10924613
0.018555,0.58131117,1.11074706
0.019043,0.56345697,1.11138471
0.019531,0.5776128,1.11024675
0.02002,0.59278887,1.10939328
0.020508,0.57397329,1.11134547
0.020996,0.56985309,1.10775501
0.021484,0.58119345,1.10842209
0.021973,0.58628484,1.10852019
0.022461,0.57389481,1.10939328
0.022949,0.5691762,1.10890278
0.023438,0.58989492,1.10434113
0.023926,0.58755033,1.10748033
0.024414,0.56265255,1.10867715
0.024902,0.57348279,1.10615598
0.025391,0.59011074,1.10792178
0.025879,0.56753793,1.10785311
0.026367,0.56699838,1.10775501
0.026855,0.58500954,1.10577339
0.027344,0.58103649,1.10688192
0.027832,0.56274084,1.10559681
0.02832,0.57121668,1.1067642
0.028809,0.58601997,1.1079414
0.029297,0.57650427,1.10504745
0.029785,0.5663313,1.10543985
0.030273,0.57072618,1.10623446
0.030762,0.586638,1.10992302
0.03125,0.57119706,1.11317994
0.031738,0.5607396,1.11050181
0.032227,0.58466619,1.10406645
0.032715,0.58492125,1.10844171
0.033203,0.56273103,1.10999169
0.033691,0.57372804,1.10707812
0.03418,0.59096421,1.10742147
0.034668,0.57009834,1.10649933
0.035156,0.56449683,1.10648952
0.035645,0.59103288,1.10703888
0.036133,0.58885506,1.10336994
0.036621,0.57240369,1.10801988
0.037109,0.5802615,1.11141414
0.037598,0.58714812,1.10513574
0.038086,0.57539574,1.10758824
0.038574,0.56945088,1.10798064
0.039063,0.57557232,1.10522403
0.039551,0.58793292,1.10181015
0.040039,0.57982986,1.1061756
0.040527,0.56420253,1.10561643
0.041016,0.57851532,1.10197692
0.041504,0.58743261,1.10439018
0.041992,0.56349621,1.10723508
0.04248,0.56879361,1.10194749
0.042969,0.59398569,1.10219274
0.043457,0.57983967,1.10831418
0.043945,0.57183471,1.10489049
0.044434,0.58437189,1.10626389
0.044922,0.58195863,1.10883411
0.04541,0.57120687,1.10624427
0.045898,0.5712363,1.10954043
0.046387,0.57746565,1.11007017
