Time (s),X Accel (m/s^2),Y Accel (m/s^2)
8.024488,1.65198438,1.11081573
8.024977,1.72886535,1.32021018
8.025464999999999,1.62406512,1.15357752
8.025953,1.69099875,1.31743395
8.026440999999998,1.70362422,1.36973106
8.026929999999998,1.6435674,1.24736112
8.027417999999999,1.71279657,1.37709837
8.027906,1.67913846,1.29657789
8.028395,1.681434,1.22133519
8.028882999999999,1.7005635,1.22278707
8.029371,1.67072148,1.17985851
8.029858999999998,1.69214652,1.19091438
8.030347999999998,1.6737822,1.19444598
8.030835999999999,1.66154913,1.19209158
8.031324,1.65772323,1.16694855
8.031813,1.6018749,1.21335966
8.032300999999999,1.61794368,1.18070217
8.032789,1.57127751,1.14560199
8.033277,1.55941722,1.12053744
8.033766,1.58887665,1.04267547
8.034253999999999,1.5376194,1.04696244
8.034742,1.59154497,1.0233792
8.035229999999999,1.61297001,0.97027767
8.035718999999999,1.57816413,0.97400547
8.036207,1.66078395,0.95698512
8.036695,1.64662812,0.96560811
8.037184,1.64394999,0.97271055
8.037671999999999,1.6929117,0.9636363
8.03816,1.65389733,0.93662937
8.038647999999998,1.65313215,0.88109496
8.039136999999998,1.67684292,0.89598654
8.039625,1.63859373,0.92402352
8.040113,1.63017675,0.8493498
8.040602,1.62406512,0.86130819
8.041089999999999,1.598049,0.86662521
8.041578,1.59269274,0.85489245
8.042065999999998,1.57739895,0.90806265
8.042554999999998,1.58237262,0.88991415
8.043042999999999,1.56209535,0.83480157
8.043531,1.56821679,0.85345038
8.04402,1.56898197,0.87145173
8.044507999999999,1.55406096,0.86848911
8.044996,1.57625118,0.85185135
8.045483999999998,1.56745161,0.80391969
8.045972999999998,1.55482614,0.85010517
8.046460999999999,1.58849406,0.90267696
8.046949,1.55597391,0.85960125
8.047438,1.56592125,0.86264235
8.047925999999999,1.57433823,0.84083472
8.048414,1.53455868,0.8587674
8.048902,1.53608904,0.83035764
8.049391,1.52499393,0.80133966
8.049878999999999,1.51084791,0.82363779
8.050367,1.52308098,0.81333729
8.050854999999999,1.48177107,0.78159213
8.051343999999999,1.50970014,0.83673414
8.051832,1.52537652,0.83802906
8.05232,1.51963767,0.83046555
