Time (s),X Axis (m/s^2),Y Axis (m/s^2),Z Axis (m/s^2)
0,-0.075526847,-0.054961862,0.160859803
0.000605694,-0.104267082,-0.184292917,0.139304627
0.001211387,-0.142587394,-0.186687937,0.098589295
0.001817081,0.053804207,0.107899466,-0.179232971
0.002422774,0.046619149,-0.01424653,-0.069062072
0.003028468,-0.16414257,-0.021431589,-0.1337276
0.003634161,-0.044391593,0.119874563,-0.090617248
0.004239855,0.065779305,-0.033406687,0.002788514
0.004845548,-0.065946769,-0.110047312,0.0746391
0.005451242,-0.044391593,0.057604056,0.163254822
0.006056935,-0.070736808,0.067184134,0.112959412
0.006662629,0.221455575,-0.064541941,0.033923768
0.007268322,0.226245614,0.172564993,0.168044861
0.007874016,-0.039601554,0.000123587,-0.013976623
0.008479709,0.075359383,-0.088492136,-0.037926818
0.009085403,0.087334481,-0.050171823,-0.054691955
0.009691096,-0.101872062,-0.028616648,-0.212763244
0.01029679,-0.085106925,0.1366397,-0.138517639
0.010902483,0.063384285,0.03365386,-0.243898498
0.011508177,-0.085106925,0.048023977,-0.330119201
0.01211387,0.082544442,-0.052566843,-0.047506896
0.012719564,0.015483895,-0.11962739,0.132119568
0.013325257,-0.018046379,-0.11962739,-0.07864215
0.013930951,-0.041996574,-0.107652292,-0.037926818
0.014536644,-0.01325634,-0.093282175,0.12493451
0.015142338,-0.020441398,0.100714407,0.1728349
0.015748031,-0.097082023,-0.009456491,0.005183533
0.016353725,0.034644051,0.031258841,0.050688904
0.016959419,0.013088875,0.028863821,0.144094666
0.017565112,0.120864754,0.028863821,0.215945252
0.018170806,0.013088875,0.08634429,0.134514588
0.018776499,0.175950203,0.059999075,0.314141053
0.019382193,-0.070736808,-0.004666452,0.089009217
0.019987886,-0.233598136,-0.131602487,-0.107382385
0.02059358,-0.065946769,-0.009456491,0.014763611
0.021199273,0.082544442,-0.093282175,0.079429139
0.021804967,0.027458992,-0.011851511,0.261450623
0.02241066,-0.073131828,0.194120169,0.093799256
0.023016354,-0.109057121,-0.004666452,0.151279725
0.023622047,-0.015651359,0.095924368,-0.025951721
0.024227741,0.013088875,0.052814016,0.139304627
0.024833434,-0.027626457,0.059999075,0.254265565
0.025439128,-0.01086132,-0.01424653,0.17522992
0.026044821,0.056199227,-0.045381784,0.194390076
0.026650515,0.147209969,0.110294485,-0.066667053
0.027256208,-0.097082023,-0.107652292,-0.035531799
0.027861902,0.001113778,0.040838919,0.249475525
0.028467595,-0.133007316,-0.026221628,0.033923768
0.029073289,-0.123427238,0.079159231,-0.033136779
0.029678982,0.029854012,-0.047776804,0.168044861
0.030284676,-0.109057121,-0.133997507,-0.172047912
0.030890369,0.14241993,0.03604888,-0.109777404
0.031496063,-0.118637199,0.170169973,-0.016371642
0.032101757,-0.21443798,0.03604888,-0.023556701
0.03270745,-0.11384716,-0.088492136,0.014763611
0.033313144,-0.135402336,0.074369192,0.100984315
0.033918837,0.015483895,-0.035801706,0.223130311
0.034524531,-0.006071281,-0.086097116,0.050688904
0.035130224,0.0897295,-0.095677194,0.043503846
0.035735918,0.025063973,-0.076517038,0.060268983
0.036341611,-0.11384716,0.000123587,0.105774354
0.036947305,0.116074715,0.093529348,-0.004396545
0.037552998,-0.293473625,0.074369192,0.139304627
0.038158692,-0.176117668,0.076764212,0.141699647
0.038764385,0.111284676,0.18933013,0.002788514
0.039370079,-0.015651359,-0.021431589,0.141699647
0.039975772,0.09212452,0.007308645,0.02434369
0.040581466,0.032249032,0.112689505,-0.267848693
0.041187159,-0.006071281,0.019283743,0.505742615
0.041792853,-0.140192375,-0.021431589,0.702134217
0.042398546,0.065779305,0.040838919,0.153674744
0.04300424,-0.085106925,0.012098684,0.27821576
0.043609933,0.015483895,-0.059751902,0.000393494
0.044215627,0.037039071,-0.205848093,0.335696229
0.04482132,-0.056366691,-0.01424653,-0.049901916
0.045427014,0.178345223,0.081554251,-0.114567443
0.046032707,-0.039601554,0.081554251,-0.013976623
0.046638401,0.03943409,-0.040591745,-0.004396545
0.047244094,0.077754403,-0.023826609,0.271030701
0.047849788,-0.039601554,0.371351614,0.017158631
